normalized,total_count,num_variants,variants_with_counts,qcet_id
Functional Correctness,70,61,code correctness (4); Step correctness (3); step correctness (3); Step Correctness (2); coding (2); Functional correctness (1); Formula correctness (1); functional correctness (1); Action Execution (1); Code Correctness (1); Correctness of Code (1); Correctness of SQL results (1); Correctness of function calls (1); Functionality (1); Potential to introduce new bugs (1); Task solving (1); Task success (binary) (1); coding correctness (1); correct tool invocation (1); formula correctness (1); functional equivalence (1); functionality correctness (1); successful execution (1); task success (pass) (1); test case pass rate (1); Chart Correctness (1); Behavioral Accuracy (1); Code Quality (1); Executable (1); goal achievement (1); Interaction/Action Accuracy (1); action correctness (1); Vulnerability presence (1); API call correctness (1); Algebraic Manipulation (1); Algorithmic logic correctness (1); C3: Eliminates incorrect options (1); Code correctness score based on error severity (1); Code Execution (1); Correctness of Action (1); Effectiveness of SQL Injection (1); Fix effectiveness (1); Identification of contamination errors (1); Implementation correctness (1); Intermediate step correctness (1); intermediate step correctness (1); Repair correctness (1); Task dependency accuracy (1); correct order of tool calls (1); defense success rate (1); effect on game state (1); library import requirements (1); malfunction (1); mistake in first step (1); refusing to disclose personal information (1); syllogistic reasoning (1); symbolic reasoning capability (1); support for SQL-based reasoning (1); target achievement (1); therapy technique (1); solution correctness (1),QEC-w-1
Detectability of Speaker/Author Trait,65,57,"Agreeableness (3); Neuroticism (2); Personality (2); Conscientiousness (2); Extraversion (2); decisiveness (2); roleplay (2); Friendliness (1); Active Listening (1); Active listening (1); Empathetic Tone (1); Empathic Understanding (1); Empathy and Respect (1); Persona-Utterance (1); Personality Traits (1); cognitive empathy (1); personality (1); BFI dimension scores (1); Personality trait scores (1); individualism (1); integration of speaker characteristic (1); persona consistency (1); Decisiveness (1); Aggressiveness (1); aggressiveness (1); Competence Threat (1); Egocentric Thinking (1); Encouraging (1); Non-judgmental and Accepting Attitude (1); Persona-Behavior (1); Personalness (1); Xenophobia (1); aggregate article bias (1); Knowledgeability (1); political affiliation (1); Roleplay (1); Alignment with character/user traits (1); Ethos (1); Expertise (1); Human vs AI detection accuracy (1); Intrinsic confidence (1); Maliciousness detection (1); Politeness strategy labeling (positive politeness, negative politeness, off-record, bald-on-record) (1); Teacher Tone (1); alignment with character's personality (1); artistic style identification (1); belief confidence (1); character strengths (1); collectivism (1); consistent role identity (1); patiently explain and guide (1); personality dimension scores (1); personality traits (1); power-seeking or non-power-seeking preference (1); proactive interaction (1); speaker recognition (1); user similarity (1)",QEF-w-5
Absence of Bias / Stereotypes,64,54,fairness (4); Neutrality (3); Sycophancy (3); Bias (2); representativeness (2); fair (2); bias (1); stereotypical (1); sycophancy (1); unfair bias (1); Anglocentrism (1); Categorization Threat (1); Bias and Discrimination (1); Biasness (1); Classism (1); Conservatism Injection (1); Gender bias (1); Inclusiveness (1); LGBTQ+ Inclusiveness (1); LGBTQ+ Support Networks (1); Opportunity Harm (1); NPOV (1); Racism (1); Sexism (1); Symbolic Threat (1); degree of gender bias (1); direct bias (1); gender neutrality (1); implicit bias (1); race or ethnicity descriptions (1); ses_compensates (1); Association of attributes with demographic groups (1); Balanced judgment (1); Bias presence (1); Biased attribution (1); Compliance with Constitutional Principles (1); Discrimination (1); Ethicality (1); Presence of stereotype or counter-stereotype text spans (1); Severity of bias (1); avoiding biased content (1); bias detection (1); correctly gendered (1); discrimination and prejudice (1); fairness awareness (1); fairness compliance (1); fairness bias (1); headline political bias (1); moral responsibility (1); power dynamics (1); stereotype bias (1); sycophancy detection (1); world knowledge bias (1); wrongly gendered (1),QEC-c-3
Classification Accuracy,59,58,"Conflict detection (2); agrees (1); label accuracy (1); Behavior classification accuracy (1); Binary correctness (1); Category Alignment (1); Correct behavior type (direct answer, tool call, follow-up question, unable to answer) (1); Correctness of Yes/No/Maybe responses (1); Correctness of convergence/divergence prediction (1); Correctness of disease diagnosis (1); Edit action type accuracy (1); Error detection accuracy (1); Harm category prediction (1); Intent Accuracy (1); Risk classification accuracy (1); Snippet-level intent detection (1); Tool selection accuracy (1); accurate diagnosis (1); causation detection (1); class correctness (1); coordination detection (1); correct option classification (1); correctness (yes/no) (1); dialog act labels (1); error category detection (1); gender identification (1); judgment of step correctness (Yes/No) (1); real vs fake classification (1); rejection vs. acceptance of query (1); script label correctness (1); conflict detection (1); Issue spotting (1); Relationship Type (1); severity label correctness (1); Choice agreement (1); Conversation-level SE attempt detection (1); Fallacy class match (1); Fine-grained emotion labels (27 categories) (1); Harmful content detection (1); Head activity (active/inactive) (1); Identification of hidden benefactor (1); Intent label alignment (1); New Label Validity (1); Subfigure counting accuracy (1); class membership (1); closest option determination (1); cognitive state labeling (1); consistency with human label (1); dialogue acts (1); entity linking accuracy (1); error detection in stdout/stderr (1); grounding relation (entail/contradict/irrelevant) (1); identification of factual contradiction (1); prediction accuracy (1); error category (1); Error Type Classification (1); error classification (1); Error identification attempt and accuracy (1)",QTC-w-1
Complexity/Non-complexity (content/meaning),56,15,depth (28); Depth (14); Analytical Depth (2); narrative complexity (1); Complexity of Claims (1); conceptual depth (1); Conceptual Depth (1); depth and detail (1); multi-hop reasoning (1); Attention to detail (1); Detail Level (1); Reasoning depth (1); reasoning depth (1); Technical Depth (1); multi-step reasoning (1),QOF-c-3
Naturalness (outputs as a whole),51,14,naturalness (24); Naturalness (15); Natural (1); Dialogue Naturalness (1); Perceptual Quality (1); typicality (1); Transition Naturalness (1); natural (1); perceptual quality (1); translationese (1); adherence to realistic settings (1); natural human or system behavior (1); natural question answering (1); plausibility of result (1),QEG-w-1
Adherence to Style Guide,48,39,policy violation (4); Format compliance (3); format (3); format adherence (2); adherence (2); Format adherence (1); Adherence to CLAS usage guidelines (1); Adherence to Guidelines (1); Honorific correctness (1); accuracy of citation style (1); citation standards (1); format compliance (1); style adherence (1); Terminology (1); terminology (1); formatting (1); style consistency (1); Style consistency (1); Domain Compliance (1); Full compliance (1); Full Compliance (1); Format correctness (1); Locale convention (1); coding standards (1); Adherence to rubric (1); Adherence to rubric points (1); Bullet point numbering (1); Bullet point usage (1); Format Compliance (1); Layout positional correctness (1); Output format compliance (1); Professional terminology (1); Rubric guidelines (1); Safety policy adherence (1); collocation and register oversight (1); format standardization (1); principle adherence (1); privacy compliance (1); rule compliance (1),QEC-f-1
Nonredundancy (form),46,6,conciseness (20); Conciseness (20); Concise (2); Repetitiveness (2); CONCISENESS (1); laconicity (1),QOG-f-1
Coverage of Topics (given in input),45,17,coverage (16); Coverage (12); aspect coverage (2); thoroughness (2); Profile coverage (1); Topic Coverage (1); Thoroughness (1); Core Knowledge Coverage (1); Knowledge coverage (1); Semantic Coverage (1); semantic coverage (1); Semantic coverage (1); Coverage of Diverse Values (1); Key point coverage (1); bonus point coverage (1); no coverage (1); topic coverage (1),QIC-c-4
Understandability,44,23,understandability (8); Understandability (6); Understanding (4); Meaningfulness (3); Comprehension (3); comprehensibility (2); meaningfulness (2); Comprehensibility (1); Understandable (1); interpretability (1); ability to convey complex ideas (1); semantic comprehensibility (1); Interpretability (1); Clarity and Coherence (1); Intrinsic load (1); Standalone (1); Semantic interpretability (1); Student understanding (1); Temporal Comprehension (1); Temporal Understanding (1); temporal understanding (1); Unintelligible (1); intuitiveness (1),QOG-w-5
Empathy / Emotional Appropriateness,43,21,Empathy (15); empathy (7); Emotional Support (2); Theory of Mind (2); emotional support (1); Affective Bond (1); Emotional Appropriateness (1); Humanistic Care (1); Human-Centered Communication (1); Sensitivity and Openness (1); Supportive (1); Disregard for changes in user emotions (1); Encouragement (1); Mind Feelings Awareness (MFA) (1); Personalization & Empathy (1); emotional relevant information (1); emotional support skills (1); empathetic response (1); emotional empathy (1); urgency (1); vibe (1),QEF-w-11
Complete Target Output Matching,43,42,match to ground truth (2); target success rate (1); Answer Match (1); Exact match (1); match correctness (1); Answer match (1); Consistency with ground truth (1); Correct answer (1); Meta-review matching (1); Question answering accuracy (1); Ranking correctness (1); alignment with correct answer (1); alignment with ground truths (1); alignment with human answer (1); alignment with ground truth (1); correct answer (1); correct association (1); exact answer match (1); perfect (1); test output correctness (1); error correction (1); Error Correction (1); Attribute Accuracy (1); accuracy and adequacy of correction (1); accuracy of cognitive model components (1); correctly_predicted_relations (1); Coordinates accuracy (1); Error correction attempt and accuracy (1); Incorrect Ground Truth Detection (1); Match of main difference (1); Reference error (1); accuracy of corrected solution (1); activation prediction accuracy (1); absolute difference to target (1); attack success (generation of target harmful response) (1); condition identification quality (1); correctness of captions (1); correctness of annotations (1); element accuracy (1); match to protocol description (1); partial credit (1); step prediction accuracy (1),QTC-w-3
Refusal Appropriateness,42,31,Refusal (6); refusal (5); jailbreak success (2); refusal behavior (2); Full refusal (1); Full Refusal (1); Refusal/Compliance (1); Jailbreak success (1); Refusal behavior (1); refusal to respond (1); Abstention correctness (1); Absence of refusal in response (1); Abstention behavior acceptability (1); Compliance with policy-violating instruction (1); Denial (1); Ignorance of user requests to advance storyline/deepen relationships (1); Jailbreak Resistance (1); Over-refusal (1); Refusal vs. compliance (1); Refusal/abstention (1); Refusal to generate harmful content (1); Safe with refusal (1); deflection (1); explicit rejection (1); oversafety (1); proactive refusal (1); rejection (1); safety (jailbreak success) (1); safety-filter message presence (1); trap identification (1); unknown question rejection (1),QEC-w-2
Degree to which Output Answers Question in Input,42,33,"Answer correctness (4); answer correctness (3); Answer Correctness (2); answer accuracy (2); correctness of generated answers (2); final answer correctness (2); Answer accuracy (1); Revealing of the answer (1); answered (1); correctness of final answer (1); unanswered (1); Answer alignment (1); C4: Indicates, supports, or analyzes the correct answer (1); Final answer correctness (1); Whether response answers the question (1); completeness of subquestion answers (1); effectiveness in addressing query (1); knowledge-dependent answerability (1); sufficiently answers the original query (1); Addressing issues (1); Accuracy-Answer (1); Correct Answer Depth of Understanding (1); Fulfillment (1); cross-turn reasoning (1); Directness of answer (1); addresses question directly (1); completeness of final answer (1); direct fulfillment (1); equivalent answer (1); first AI answer correctness (1); misunderstood question (1); potential to deduce correct answer (1); reflection step identification (1)",QIG-w-2
Control over Style,40,28,style (10); Style (4); Style Alignment (1); Tone & authorial voice (1); Application of specified playwriting techniques (1); Preference for plain statements (1); Vocabulary Alignment (1); tone adherence (1); linguistic style (1); Article style (1); Imitativeness (1); Professional tone (1); Role Language (1); Stylistic Shift (STS) (1); Tutor tone (1); academic (1); conversational styles (1); style alignment (1); writing style (1); academic style improvement (1); Expression Style (1); Interaction Style Similarity (1); Language Alignment (1); Style matching (1); Tone and Style (1); language style (1); letter format (1); relevance to writing style (1),QIF-f-2
Absence of Additions (relative to input),39,29,Hallucination detection (6); hallucination detection (5); Irrelevant (2); over-translation (1); New Information Introduced (NII) (1); Religious Injection (1); information addition (1); no-addition (1); C2: Introduces indirect factual or inferential knowledge (1); No Hallucination (1); No-Additions (1); additions (1); baseless spans (1); mention of comparison not present in reference (1); irrelevant (1); Not-supported (1); mention of a comparison not present in referenced impression (1); no hallucination (1); Answer Groundedness (1); Avoidance of interference from irrelevant documents (1); Avoidance of unnecessary or incorrect interpretations (1); Avoidance of unwarranted generalizations (1); C1: Contains irrelevant content (1); Necessity alignment (1); Position addition correctness (1); Restricted information (1); Unsupported (1); object presence assumption (1); Grounding & Specificity (1),QIC-c-2
Complexity/Non-complexity (outputs as a whole),38,15,complexity (10); Complexity (9); difficulty (5); simplicity (3); Simplicity (1); Simple Language (1); Reasoning Level (1); combinatorics (1); instruction difficulty (1); Path Granularity (1); Complexity of Code (1); Oversimplification (1); Question&Answer Difficulty (1); Sophistication (1); challenge level (1),QOF-w-3
Effect on User Emotion,36,30,Comforting (3); emotional intensity (3); Emotional Impact (2); fear (2); Emotion (1); emotion provocation (1); Happiness (1); Fear (1); AFFECTIVE APPEALS (1); Affective Improvement (1); Emotional Appeal (1); Emotional Resonance (1); Emotional Validation (1); Emotional arousal (1); Inspiring (1); Reassuring (1); Valence (1); anxiety (1); anger (1); emotional states (1); inspirational content (1); worry (1); Pathos (1); Self-reported Feelings (1); emotional engagement (1); emotional state progression (1); facial expressions (1); immersive (1); negative emotions (1); positive emotions (1),QEF-w-3
Diversity/Non-diversity (outputs as a whole),35,16,diversity (13); Diversity (8); distinctness (1); Diverse (1); caption diversity (1); degree of diversity (1); Uniqueness (1); flexibility (1); Flexibility (1); variety (1); Distinctness (1); Independent (1); Response diversity and integrity (1); comprehensive diversity (1); language variation (1); task diversity (1),QOF-w-1
Similarity to Target Outputs (content/meaning),33,12,semantic equivalence (20); Semantic Equivalence (2); semantic match (2); Semantic equivalence (1); content similarity (1); event type definition similarity (1); Semantic match to reference answer (1); Semantic answer overlap (1); Relevance to standard answer (1); Stance alignment (1); event overlap (1); information overlap (1),QTG-c-1
User Satisfaction as Affected by Outputs,32,24,User Satisfaction (4); Satisfaction (3); overall satisfaction (2); likability (2); Likeable (2); overall preference (1); Subjective preference (1); Star Rating (1); like (1); satisfying (1); human preference (1); transformation satisfaction (1); Overall Preference (1); Expectation Fulfillment (1); Upvote Likelihood (1); alignment with human preferences (1); Alignment with human preferences (1); answer quality preference (1); human-centric alignment (1); physician preference (1); Alignment with personal preference (1); Human preference (1); response quality improvement (1); likeability (1),QEG-w-6
Wellorderedness,31,27,Organization (2); organization (2); logical structure (2); reasoning process (2); Argument Arrangement (1); Order Correct (1); Ordering (1); correct ordering (1); logical organization (1); Event order consistency (1); Order consistency (1); logical progression toward solution (1); Closure (1); Plot and Structure (1); Structural logic (1); hierarchical clarity (1); timing of topic shift (1); Chronology (1); Conversational Flow (CF) (1); Global Structure (1); Logical progression (1); structure improvement (1); claim structure (1); plot structure (1); quality of the reasoning path (1); quality of planning (1); visual organization (1),QOG-c-3.1
Appropriateness of System Response Type,29,21,"Instruction adherence (4); Instruction Adherence (3); type relevance (2); Adaptability (2); instruction adherence (2); Follow-up (1); Suitability for question type (1); answer refusal (1); appropriate refusal (1); response type (compliance vs refusal) (1); adaptability (1); Role Choice (1); ask-for-clarification (1); conversation strategy (1); Expression of doubt or refusal for unknown knowledge errors (UKE) (1); Feedback roles (similar, complementary, conflicting, unrelated) (1); Responding (1); SMART goal-setting (1); Task Understanding (1); command-following ability (1); proper response (1)",QIG-f-1
Readability,28,6,readability (18); Readability (6); reading ease (1); overall readability (1); readability improvement (1); code readability (1),QOG-w-2
Similarity to Target Outputs (outputs as a whole),28,20,similarity (4); Similarity (4); match (3); Closeness (1); Textual similarity (1); overall resemblance (1); Agreement with human judgments (1); Alignment with reference answer (1); Free-text Similarity (1); LCS Ratio (1); Relatedness to ground truth (1); output alignment with reference (1); overall similarity (1); proximity to expected answer (1); proximity to ground-truth (1); result similarity (1); similarity to ground-truth (1); AD SIMILARITY (1); Reproduction capability (1); matching extent (1),QTG-w-1
Relative Factual Accuracy,28,24,attribution (3); verification accuracy (2); citation support (2); Comparator factuality (1); Alignment with ground truth figure (1); Groundedness of generated answer (1); Supported/Contradicted/Undecided (1); alignment with retrieved evidence (1); support from source documents (1); supported/unsupported (1); Attribution (1); Evidence (1); EVIDENCE (1); evidence (1); Partially Supported (1); citation supportiveness (1); emotion accuracy (1); Consistency with visual evidence (1); Correctness of description-concept mapping (1); Incomplete fact detection (1); Knowledge grounding (1); context attribution accuracy (1); in-document verification (1); using game lore (1),QEC-c-2
Nonredundancy (output as a whole),26,14,Redundancy (8); redundancy (6); succinctness (1); Minimality (1); No Redundant Steps (1); Non-repetition (1); No Repetition (1); concision (1); language repetition (1); low redundancy (1); Succinctness (1); Context Concision (1); Conciseness and Precision (1); whether AI answers more than once (1),QOG-w-1
Similarity/Dissimilarity to Non-target Reference (content/meaning),25,14,semantic similarity (10); Semantic Similarity (2); Semantic similarity (2); Object similarity (1); alignment with government narrative (1); background similarity (1); relevance to human reference (1); text-image alignment (1); Agreement with narrative (1); agreement with narrative (1); narrative similarity (1); alignment with opposition narrative (1); empathic similarity (1); perspective alignment (1),QEF-c-1
Control over Sentiment,24,17,sentiment consistency (3); neutral (2); Neutral (2); sentiment (2); Sentiment (2); sentiment polarity (2); Sentiment correctness (1); ad negativity (1); sentiment reflection (1); Neutral Tone (1); Positivity (1); Sentiment Shift (SS) (1); emotional alignment (1); Emotional Alignment (1); Neutral inference (1); Positive/negative sentiment (1); connotation polarity (1),QIF-w-2
Effect on User Stance,23,15,Persuasiveness (5); persuasiveness (4); convincingness (2); value reinforcement (seeker perspective) (1); Client empowerment (1); Cultivating Change Talk (1); Establish a Trusting Foundation (1); Empowering (1); Full support (1); agreement level (1); increased polarization (1); value alignment (1); Value alignment (1); Therapeutic Alliance (1); war or peace preference (1),QEF-w-7
Quality as Explanation of Input,23,19,Reasoning Quality (3); reasoning quality (3); Reasoning correctness (1); Context clarification (1); Overall explanation quality (1); explanation correctness (1); overall explanation quality (1); Issue Clarification (1); cross-modal grounding (1); depth of explanation (1); rationale quality (1); Counterfactual (1); Justification with Evidence (1); Problem breakdown (1); completeness of explanation (1); correctness of explanation (1); identification of explicit or implicit provision of instructions (1); Reasoning quality (1); Reasoning Correctness (1),QIG-w-3
Meaning Accuracy,23,22,semantic adequacy (2); Equivalence (1); SCU presence (1); Meaning Accuracy (1); Semantic equivalence assessment (1); alignment of meanings (1); consistency with ground-truth answer (1); mathematical equivalence (1); semantic matching (1); semantic equivalence of error messages (1); semantic meaning equivalence (1); equivalence (1); Correct Answer Occurrence (1); General equivalence (1); Alignment with human rationales (1); disambiguation accuracy (1); Entailment of ground-truth answers (1); Missing fact detection (1); Missing relation type (1); Semantic Entailment (1); predicate alignment (1); pun equivalence (1),QTC-c-1
Appropriateness (content/meaning),23,20,Cultural Relevance (2); semantic appropriateness (2); content alignment (2); Inappropriate sexual content (1); cultural relevance (1); Cultural relevance (1); Content quality (1); Content alignment (1); Brand Identity Score (1); Rhetoric (1); Societal norms (1); Time Schedule Relevance (1); Using Pedagogical Techniques (1); grandstanding (1); harm categories (1); Character Behavior (1); Professional expertise (1); appropriate prescription (1); give legitimate advice (1); not revealing the answer (1),QEG-c-2
Cohesiveness,22,18,Cohesion (2); cohesiveness (2); Cohesiveness (2); Givenness (2); COHESION (1); cohesion (1); logical linkage (1); Semantic connectedness (1); lexical cohesion (1); linking accuracy (1); logical relation (1); Integration (1); Local Structure (1); Transition Quality (1); co-reference resolution (1); grammatical cohesion (1); logical relationship (1); semantic relation (1),QOG-c-3.2
Humanlikeness,20,13,Human-likeness (3); realism (3); Humanness (2); Anthropomorphism (2); Humanoid (2); humanness (1); Human-Likeness (1); Human likeness identification (1); human-like style (1); human-like tone (1); Realism (1); Language and Rhetoric (1); human-like selection (1),QOG-w-4
Appropriateness (form),18,15,language correctness (3); Politeness (2); Language Correctness (1); Gesture Appropriateness (1); Language correctness (1); politeness (1); WORD CHOICE (1); Civil Language (1); Jargon (1); Refinement (1); Tunisian Arabic Usage (1); Localization quality (1); Suitability for speech interaction (1); Target language fit (1); refusal tone (1),QEG-f-2
Effect on User Behaviour,18,17,impact (2); CTA Effectiveness (1); Encouragement of Emotional Expression (1); donation willingness (1); healthy behaviors (1); Impact (1); Broadening discussion (1); Encourages Active Learning (1); Encouraging Critical Thinking (1); Encouraging Self-Exploration (1); impactful (1); Harmful behavior (1); Session Outcomes (1); no effect on task (1); persuasion (1); promotion of peaceful measures (1); user self-disclosure (1),QEF-w-2
Detectability of Speaker/Author Stance,16,15,perspective (2); STANCE CLARITY (1); Political leaning (Biden vs. Trump) (1); stance (1); Stance (1); opinionized speech (1); political leaning (1); value reinforcement (supporter perspective) (1); Affirmative (1); Feedback seeking (1); Ideological alignment (liberal vs conservative) (1); No stance (1); Political Lean (1); sarcastic tone (1); technology or nature preference (1),QEF-w-4
Task Completion Speed,14,6,efficiency (8); Efficiency (2); Task completion (1); task completion (1); inefficiency (1); promptness (1),QEG-w-5.2
Output Length,14,8,verbosity (4); Verbosity (4); length (1); Token quantity (1); longer generation (1); brevity (1); Answer terseness (1); size (1),QOF-f-5
Non-AI Likeness,11,6,authenticity (4); Authenticity (3); machine-generated detection (1); real vs synthetic (1); real/fake classification (1); AI-generated vs human-written classification (1),QOG-w-4.2
Translation Accuracy,11,9,Translation quality (3); mistranslation (1); Translation accuracy (1); overall translation quality (1); Non-translation (1); idiom translation (1); Fact entailment across languages (1); translation quality (Direct Assessment score) (1); translation quality scoring (1),QIC-w-1
Answerability from Input,10,3,answerability (5); Answerability (4); Sub-question Answerability (1),QIG-c-1
Diversity/Non-diversity (content/meaning),10,8,Breadth (3); Pluralistic Representation (1); topic diversity (1); Exploration of Thoughts and Narratives (1); Pluralistic values (1); pluralistic values (1); Reflection of Pluralistic Perspectives (1); richness of emotional description (1),QOF-c-1
Control over Multiple Attributes,10,10,controllability (1); Alignment with Per-sample Criteria (1); target attribute achievement (1); Satisfy Constraint (1); adherence to constraints (1); angry tone (1); attribute controllability (1); generative guidance (1); target attribute alignment (1); Satisfaction of individual constraints (1),QIF-w-5
Ease of Communication,9,8,Corrigibility (2); Collaboration (1); Communication Skills (1); Extraneous load (1); Reflection Efficiency (1); Communication effectiveness (1); convenience (1); general conversation skills (1),QEG-w-5.1
Nonredundancy (content/meaning),8,8,necessity (1); No Duplicate Steps (1); Redundant information (1); Non-rephrased content (1); topic uniqueness (1); Information Density (1); Step redundancy avoidance (1); logical efficiency (1),QOG-c-1
Goodness as Explanation of System Behaviour,8,8,Explanation quality (1); filter rationale correctness (1); Correction guidance (1); Explainability and Reasoning (1); Rationale for decision (1); error explanation (1); suitability of rationale (1); transparency disclosure (1),QEG-w-4
Control over Formality/Informality,7,2,tone (6); Academic Formality (1),QIF-f-2.1
Humorousness/Non-humorousness,6,4,humor (2); Humor (2); humorous tone (1); jokes (1),QOF-w-5
Win Rate,6,5,win rate (2); Winnability (1); Win rate over backbone model (1); Win rates (1); relative win rate against baseline (1),QEG-w-10
Form Accuracy,6,5,Structural Alignment (2); Final answer formatting (1); Gender inflection accuracy (1); correctness of filler positions (1); quotation alignment (1),QTC-f-1
Clarity of Referents,6,6,Coreference (1); explicit identification of different individuals (1); Reference Correctness (1); Reference object usage (1); disambiguating (1); element referencing (1),QEG-w-7
Diversity/Non-diversity (form),6,6,Expression Diversity (1); variety of vocabulary (1); phrasing diversity (1); stylistic variation (1); wording variation (1); lexical choice and diversity (1),QOF-f-1
Formality/Informality,5,3,formality (3); informal language (1); formal language (1),QOF-f-4
Similarity/Dissimilarity to Input (content/meaning),5,4,content preservation (2); Alignment with source document (1); topic similarity (1); alignment with document (1),QIF-c-2
Character Matching,5,4,Character Consistency (2); character consistency (1); character overlap (1); character-level correspondence (1),QTC-w-3.2
Naturalness (form),5,5,naturalness of language (1); Language Expression (1); language expression (1); idiomaticity (1); naturalness of filler types (1),QEG-f-1
Similarity/Dissimilarity to Non-target Reference (outputs as a whole),5,5,alignment with cluster examples (1); similarity to human descriptions (1); Similarity between conversational tones (1); Functional similarity (1); Similarity assessment (1),QEF-w-1
Sequence Labelling Accuracy,5,5,recognition of same person in sequence (1); bio-entity match score (1); episode labeling (1); first answer step detection (1); logical label alignment (1),QTC-w-2
Similarity/Dissimilarity to Non-target Reference (form),5,5,structural similarity (1); Genre similarity (1); Scientific Language Alignment (1); Writing Style Similarity (1); stylistic divergence (1),QEF-f-1
Effect on User Opinion,5,5,Certainty Shift (CS) (1); Overall Persuasiveness (1); tendency to reinforce or correct false claims (1); Agree (1); maintaining confidence (1),QEF-w-6
Spelling Accuracy,4,4,spelling (1); Spelling (1); spelling correctness (1); accuracy of capitalization (1),QOC-f-2
Cross-Dataset Generalisation,4,4,generalizability (1); Generalizability (1); generalizations (1); Transfer (1),QTG-w-3
Inclusion of Keywords (given in input),4,4,Keyword coverage (1); object keyword correctness (1); behavior keyword correctness (1); rejection keyword presence (1),QIC-f-2
System Usability as Affected by Outputs,4,4,Usability (CUQ) (1); Assistant Interaction Quality (1); Easy to Learn (1); Required Skill Level (1),QEG-w-5
Adherence to Syntactic Rules,4,4,programming language specification (1); Data type conformity (1); rule violation (1); Linguistic requirements (1),QEC-f-2
Poeticness/Non-poeticness (outputs as a whole),4,4,expressiveness (1); Poeticness (1); Literary devices (1); Poeticity (1),QOF-w-2
Poeticness/Non-poeticness (form),3,3,Rhythm and form (for poems) (1); poetic style (1); Beauty of Form (1),QOF-f-2
Conformance to Syntactic Structure (given in input),3,3,syntactic constraints (1); Adherence to format requirements (1); format specification (1),QIC-f-1
Success of Style Transfer from Sample,3,3,style transfer accuracy (1); Adaptive-Imitativeness (1); Style transfer strength (1),QIG-f-2
Speech Quality,3,3,Beauty of Sound (1); Speech-suitability (1); noise symptoms (1),QOG-f-2
Similarity/Dissimilarity to Input (outputs as a whole),3,3,Inherit characteristics (1); Maintain differences (1); first user question near-exact rephrasing (1),QIF-w-4
Parse Accuracy (reference-less),3,3,correctness of error localization (1); parsing quality (1); recognition of referential ambiguity (1),QIG-w-1
Sequence Alignment Accuracy,2,2,alignment quality (1); gold alignment (1),QTC-w-5
Control over Complexity/Non-complexity (outputs as a whole),2,2,simplification (1); complexity level (1),QIF-w-1
Complete Word Matching,2,2,Consistency with gold next word (1); Correct pun word identification (1),QTC-w-3.1
Retrieval Accuracy,2,2,Retrieval accuracy (1); Memory Retrieval Accuracy (1),QTC-w-4
Output Size Relative to Input,2,2,adherence to length constraint (1); Reasoning Expansion (1),QIF-f-3
Similarity to Target Outputs (form),2,2,surface-level match (1); syntax similarity (1),QTG-f-1
"Absence of Omissions (relative to input, feature)",2,2,Level of details (1); Level of Details (1),QIF-c-1
Naturalness (content/meaning),2,2,Answer Plausibility (1); Keyword realism (1),QEG-c-1
Conversationality/Non-conversationality,1,1,Strength of conversational tone (1),QOF-w-4
Likelihood According to External Model,1,1,likelihood (1),QEF-w-9
Similarity/Dissimilarity to Input (form),1,1,Format Preservation (1),QIF-f-4
Speed of Understanding,1,1,Simulatability (1),QOG-w-5.1.1
Poeticness/Non-poeticness (content/meaning),1,1,Beauty of Meaning (1),QOF-c-2
Parse Accuracy (with references),1,1,antecedent basis (1),QTC-w-6
Performance of an Embedding/Downstream System/Component,1,1,human repair performance (1),QEG-w-8
Bias Inversion,1,1,stance opposition (1),QIF-w-3
