normalized,total_count,num_variants,variants_with_counts
REWARDBENCH,6,3,RewardBench (3); RewardBench score (2); RewardBench Score (1)
SENSITIVITY,6,3,Sensitivity (4); Sensitivity Score (1); sensitivity (1)
STANDARD DEVIATION,6,3,Standard Deviation (3); Standard deviation (2); standard deviation (1)
TOKEN CONSUMPTION,6,3,Token Consumption (3); token consumption (2); Token consumption (1)
VARIANCE,6,3,Variance (4); Score Variance (1); variance (1)
Z,6,3,z-score (3); Z-Score (2); Z-score (1)
ACCEPTANCE LENGTH,6,2,Acceptance Length (3); Average Acceptance Length (3)
ANOVA,6,2,ANOVA (5); anova (1)
COLA,6,2,CoLA (5); CoLA Score (1)
DELIVERY RATE,6,2,Delivery Rate (5); Delivery rate (1)
FINAL PASS RATE,6,2,Final Pass Rate (5); Final pass rate (1)
GENDER ACCURACY,6,2,Gender Accuracy (5); Gender accuracy (1)
HARMONIC,6,2,Harmonic Mean (4); harmonic mean (2)
JACCARD INDEX,6,2,Jaccard Index (4); Jaccard index (2)
JS,6,2,JS (5); JS-2 (1)
KULLBACK LEIBLER DIVERGENCE,6,2,Kullback-Leibler Divergence (5); Kullback-Leibler divergence (1)
LABSE,6,2,LaBSE (5); LabSE (1)
LEVENSHTEIN EDIT DISTANCE,6,2,Levenshtein edit distance (5); Levenshtein Edit Distance (1)
LOGIT DIFFERENCE,6,2,Logit Difference (4); Logit difference (2)
NOVEL N GRAMS,6,2,Novel n-grams (3); novel n-grams (3)
REFCLIP,6,2,RefCLIP-S (5); RefCLIP-X (1)
REGARD,6,2,Regard (5); Regard Score (1)
STYLE TRANSFER ACCURACY,6,2,Style Transfer Accuracy (5); Style-transfer Accuracy (1)
TRUE INFO,5,5,% True*Info (1); True*Info (1); True*Info % (1); True*Info (%) (1); True.*Info. (1)
DICE,5,4,Dice (2); DICE (1); Dice Score (1); dice score (1)
EMOTION ACCURACY,5,4,Emotion Accuracy (2); Emotion accuracy (1); Emotion-accuracy (1); emotion accuracy (1)
INFO,5,4,Info (2); %Info (1); Info % (1); Info (%) (1)
RM,5,4,rm@k (2); RM (1); RM Score (1); RM@k (1)
TRUE,5,4,TRUE (2); True (1); True % (1); True (%) (1)
AGREEMENT RATE,5,3,Agreement Rate (3); Agreement rate (1); agreement rate (1)
ALIGNMENT,5,3,Alignment (3); Alignment Score (1); Alignment score (1)
ENTITY,5,3,Entity Score (3); Entity (1); Entity-Score (1)
EXACT MATCHING,5,3,Exact Matching (3); exact matching (1); exact-matching (1)
ICC,5,3,"ICC (3); ICC(2,k) (1); ICC(3,k) (1)"
JOINT,5,3,Joint Score (3); Joint Metric (1); Joint score (1)
LS,5,3,LS (2); LS Score (2); LS-Score (1)
PERCENTAGE AGREEMENT,5,3,Percentage Agreement (3); Percentage agreement (1); percentage agreement (1)
STR EM,5,3,str-em (3); STR-EM (1); Str_EM (1)
STRING MATCHING,5,3,String Matching (2); String matching (2); String-matching (1)
TOKEN PROBABILITY,5,3,Token Probability (3); Average token probability (1); Token probability (1)
TOP,5,3,Top-1 (2); Top-K (2); Top-5 (1)
TURN,5,3,Average Turn (3); Turn (1); Turn Score (1)
VOCABULARY SIZE,5,3,Vocabulary Size (2); vocabulary size (2); Vocabulary size (1)
WORD COUNT,5,3,Word Count (3); Mean Word Count (1); Word count (1)
XCOMET XL,5,3,XCOMET-XL (3); XComet-XL (1); xCOMET-XL (1)
ARENA HARD,5,2,Arena-Hard (3); Arena Hard (2)
ARMORM,5,2,ArmoRM (4); ArmoRM score (1)
CRONBACH S ALPHA,5,2,Cronbach's alpha (4); Cronbach's Alpha (1)
DEFENSE SUCCESS RATE,5,2,Defense Success Rate (3); defense success rate (2)
EXACT SET MATCH,5,2,Exact Set Match (4); Exact-Set-Match (1)
EXECUTABILITY,5,2,Executability (4); executability metric (1)
EXECUTION MATCH,5,2,Execution Match (4); execution match (1)
HALLUCINATION,5,2,Hallucination (3); Hallucination Score (2)
LEVENSHTEIN SIMILARITY,5,2,Levenshtein Similarity (3); Levenshtein similarity (2)
LLM AS JUDGE,5,2,LLM-as-Judge (4); LLM-as-judge (1)
LOGICAL FORM ACCURACY,5,2,Logical Form Accuracy (4); logical form accuracy (1)
MEMORIZATION RATIO,5,2,Memorization Ratio (4); memorization ratio (1)
NORMALIZED ACCURACY,5,2,Normalized Accuracy (4); normalized accuracy (1)
PAC,5,2,PAC-S (4); PAC (1)
RANKING ACCURACY,5,2,Ranking Accuracy (4); ranking accuracy (1)
REWARD ACCURACY,5,2,Reward Accuracy (4); Reward accuracy (1)
SIMULATABILITY,5,2,Simulatability (4); simulatability (1)
SLE,5,2,SLE (4); ΔSLE (1)
SLOT ERROR RATE,5,2,Slot Error Rate (4); Slot error rate (1)
SLOT F1,5,2,Slot F1 (4); Slot-F1 (1)
SS,5,2,SS (4); SS score (1)
STEPS,5,2,Average Steps (3); Steps (2)
STS,5,2,STS (4); STS-B (1)
TRUTHFULNESS,5,2,Truthfulness (4); Truthfulness Metric (1)
WINOGRANDE,5,2,Winogrande (4); WinoGrande (1)
BITS PER CHARACTER,4,4,Bits Per Character (1); Bits per character (1); Bits-Per-Character (1); Bits-per-character (1)
EMBEDDING COSINE SIMILARITY,4,4,Embedding Average Cosine Similarity (1); Embedding Average cosine similarity (1); Embedding Cosine Similarity (1); Embedding cosine similarity (1)
RISK,4,4,RISK (1); Risk (1); Risk Score (1); risk (1)
ARG,4,3,Arg@1 (2); Arg-C (1); Arg-I (1)
COGNITION,4,3,Cognition Score (2); Cognition (1); Cognition Metric (1)
CONSISTENCY RATE,4,3,Consistency Rate (2); Consistency rate (1); consistency rate (1)
GLUE,4,3,GLUE score (2); GLUE (1); GLUE Score (1)
HARMLESSNESS,4,3,Harmlessness (2); Harmlessness Score (1); harmlessness score (1)
ICE,4,3,ICE-Score (2); ICE (1); ICE Score (1)
INFOMETIC,4,3,InfoMetIC (2); InfoMetIC P (1); InfoMetIC R (1)
LLM JUDGE,4,3,LLM Judge (2); LLM judge score (1); LLM-Judge (1)
M SCORER,4,3,M² Scorer (2); M² scorer (1); M²Scorer (1)
MEL CEPSTRAL DISTORTION,4,3,Mel Cepstral Distortion (2); Mel-Cepstral Distortion (1); mel-cepstral distortion (1)
MULTIPLE CHOICE ACCURACY,4,3,Multiple Choice Accuracy (2); Multiple-choice Accuracy (1); multiple-choice accuracy (1)
OVERALL,4,3,Overall Score (2); Overall (1); Overall Score (S) (1)
RA,4,3,RA (2); Avg-RA (1); ∆RA (1)
RETRIEVAL ACCURACY,4,3,Retrieval Accuracy (2); retrieval accuracy (1); retrieval accuracy@k (1)
SAFE,4,3,SAFE (2); %safe (1); Safe% (1)
SILHOUETTE,4,3,Silhouette Score (2); Silhouette score (1); silhouette score (1)
STEREOTYPE,4,3,Stereotype Score (2); Stereotype (1); stereotype score (1)
TOXICITY PERSPECTIVE API,4,3,Toxicity Score (Perspective API) (2); Toxicity (Perspective API) (1); toxicity score (Perspective API) (1)
UNIGRAM F1,4,3,Unigram F1 (2); unigram F1 (1); unigram-F1 (1)
UNIGRAM OVERLAP,4,3,Unigram Overlap (2); Unigram Overlap (1-g) (1); Unigram overlap (1)
WORD ACCURACY,4,3,word accuracy (2); Word Accuracy (1); Word accuracy (1)
ANSWER F1,4,2,Answer F1 (3); Answer-F1 (1)
ARC CHALLENGE,4,2,ARC-Challenge (3); ARC Challenge (1)
ARC EASY,4,2,ARC-Easy (3); ARC Easy (1)
CHAMFER DISTANCE,4,2,Chamfer Distance (3); Weighted Chamfer Distance (1)
COMMONSENSE CONSTRAINT PASS RATE,4,2,Commonsense Constraint Pass Rate (3); Commonsense constraint pass rate (1)
CONDITIONAL ENTROPY,4,2,Conditional Entropy (3); Conditional Entropy-3 (1)
CORRECTION ACCURACY,4,2,Correction Accuracy (3); Correction accuracy (1)
EFFICIENCY,4,2,Efficiency (3); Efficiency Score (1)
EVIDENCE F1,4,2,Evidence F1 (3); Evidence-F1 (1)
F1 RADGRAPH,4,2,F1-RadGraph (3); F1 RadGraph (1)
FACTUAL ACCURACY,4,2,Factual Accuracy (2); factual accuracy (2)
FORMALITY,4,2,Formality (2); Formality Score (2)
GOAL ACCURACY,4,2,Average Goal Accuracy (2); Goal Accuracy (2)
GPT 4 SCORING,4,2,GPT-4 scoring (3); GPT-4 Scoring (1)
GRAMMAR,4,2,Grammar (3); grammar (1)
GUNNING FOG INDEX,4,2,Gunning Fog Index (2); Gunning-Fog Index (2)
HALLUCINATION RATE HR,4,2,Hallucination Rate (HR) (3); Hallucination Rate (HR%) (1)
HARD CONSTRAINT PASS RATE,4,2,Hard Constraint Pass Rate (3); Hard constraint pass rate (1)
INSTRUCTSCORE,4,2,INSTRUCTSCORE (2); InstructScore (2)
INTERSECTION OVER UNION IOU,4,2,Intersection over Union (IoU) (3); Intersection-over-Union (IOU) (1)
J,4,2,J (3); J score (1)
KENDALL CORRELATION,4,2,Kendall Correlation (2); Kendall correlation (2)
LABEL ACCURACY,4,2,label accuracy (3); Label Accuracy (1)
LANGUAGE DETECTION,4,2,Language Detection (3); Language detection (1)
LSE,4,2,LSE-C (2); LSE-D (2)
MEMORY USAGE,4,2,Memory Usage (3); memory usage (1)
MULTI HOP ACCURACY,4,2,Multi-hop Accuracy (3); Multi-hop accuracy (1)
NORMALIZED,4,2,normalized score (3); Normalized Score (1)
OCR ACCURACY,4,2,OCR Accuracy (2); OCR accuracy (2)
PAIRWISE BLEU,4,2,Pairwise-BLEU (3); pairwise-BLEU (1)
PREFERENCE,4,2,Preference Score (3); Preference (1)
PROGRESS RATE,4,2,Progress Rate (3); Average Progress Rate (1)
READABILITY,4,2,Readability (3); Readability Score (1)
REASONING ACCURACY,4,2,Reasoning Accuracy (3); reasoning accuracy (1)
RELATIVE GAIN,4,2,Average Relative Gain (2); Relative Gain (2)
REWARD MODEL SCORES,4,2,Reward Model Scores (2); reward model scores (2)
S ACC,4,2,S-ACC (3); S-Acc (1)
SEMANTIC ACCURACY,4,2,Semantic Accuracy (2); semantic accuracy (2)
SEMQA,4,2,SEMQA (3); SEMQA score (1)
SENTIMENT ACCURACY,4,2,Sentiment Accuracy (2); Sentiment accuracy (2)
SEQUENCE ACCURACY,4,2,Sequence Accuracy (3); sequence accuracy (1)
SPEARMAN S RANK CORRELATION COEFFICIENT,4,2,Spearman's rank correlation coefficient (3); Spearman's Rank Correlation Coefficient (1)
SURPRISAL,4,2,Surprisal (3); surprisal (1)
TASK ACCURACY,4,2,Task Accuracy (3); Task accuracy (1)
TEXT LENGTH,4,2,Text Length (3); Average text length (1)
TEXTUAL ENTAILMENT,4,2,Textual Entailment (3); Textual Entailment Score (1)
TOP 10 ACCURACY,4,2,Top-10 Accuracy (2); top-10 accuracy (2)
TOP 3 ACCURACY,4,2,Top-3 Accuracy (2); top-3 accuracy (2)
TPR@FPR,4,2,TPR@FPR (3); TPR@FPR=1% (1)
ACCURACY TOP,3,3,Accuracy (top-1) (1); Accuracy (top-10) (1); Accuracy (top-3) (1)
ALPACAEVAL 2 0 WIN RATE,3,3,AlpacaEval 2.0 win rate (1); AlpacaEval 2.0 win-rate (1); AlpacaEval-2.0 win-rate (1)
B,3,3,B (1); B^3 (1); B³ (1)
BITS PER BYTE,3,3,Bits per Byte (1); Bits per byte (1); Bits-Per-Byte (1)
CONTENT PRESERVATION,3,3,Content Preservation (1); Content preservation (1); content preservation (1)
CORR,3,3,Corr (1); Corr-A (1); Corr-F (1)
COVER EM,3,3,COVER-EM (1); Cover-EM (1); cover-EM (1)
CRITIC,3,3,CRITIC (1); Critic (1); Critic-Score (1)
DATE F1,3,3,Date F1 (1); Date F1-score (1); Date-F1 (1)
DP,3,3,DP.P (1); DP.R (1); Δdp (1)
EXACT,3,3,%Exact (1); Exact Score (1); Exact@K (1)
EXPLORATION,3,3,Average Exploration Score (1); Exploration (1); Exploration Score (1)
FLESCH KINCAID READABILITY,3,3,Flesch-Kincaid Readability score (1); Flesch-Kincaid readability (1); Flesch-Kincaid readability score (1)
KENDALL TAU CORRELATION,3,3,Kendall tau correlation (1); Kendall-Tau Correlation (1); Kendall-Tau correlation (1)
KILT ROUGE,3,3,KILT ROUGE-L (1); KILT-ROUGE (1); KILT-ROUGE-L (1)
LEXICAL OVERLAP,3,3,Lexical Overlap (1); Lexical overlap (1); lexical overlap (1)
LONGCLIP,3,3,LongCLIP (1); LongCLIP-B (1); LongCLIP-L (1)
MANN WHITNEY U TEST,3,3,Mann-Whitney U Test (1); Mann-Whitney U test (1); Mann-Whitney U-test (1)
MULTI BLEU,3,3,Multi-BLEU (1); Multi-BLEU-P (1); multi-BLEU (1)
NORMALIZED ENTROPY,3,3,Normalized Entropy (1); Normalized Entropy (Ĥ) (1); normalized entropy (1)
PITCH ACCURACY,3,3,Pitch Accuracy (1); Pitch accuracy (1); pitch accuracy (1)
POLARIZATION,3,3,Polarization (1); Polarization score (1); polarization (1)
PREDICTIVE ENTROPY,3,3,Predictive Entropy (1); Predictive entropy (1); predictive entropy (1)
RER,3,3,ReR@1 (1); ReR@10 (1); ReR@50 (1)
SAM,3,3,SAM-C (1); SAM-O (1); SAM-R (1)
SEMANTIC COHERENCE,3,3,Semantic Coherence (1); Semantic coherence (1); semantic coherence (1)
SUPERGLUE,3,3,SuperGLUE (1); SuperGLUE Score (1); SuperGLUE score (1)
TP,3,3,TP (1); TP@1% (1); TP@5% (1)
TRIPLET F1,3,3,Triplet F1 (1); Triplet-F1 (1); Weighted Triplet F1 (1)
TYPE TOKEN RATIO TTR CAP,3,3,Type-Token Ratio (TTR_cap) (1); Type-Token Ratio (TTR_cap_2) (1); Type-Token Ratio (TTR_cap_c) (1)
UNIQUENESS,3,3,Uniqueness (1); Uniqueness Score (1); uniqueness (1)
A CU,3,2,A³CU (2); A²CU (1)
ACCURACY@N,3,2,Accuracy@n (2); Accuracy@N (1)
ALPACAEVAL2,3,2,AlpacaEval2 (2); AlpacaEval2.0 (1)
ARGUMENT QUALITY,3,2,Argument Quality (2); Argument quality score (1)
AUTO,3,2,Auto-J (2); AUTO-J (1)
BACKWARD BLEU,3,2,Backward BLEU (2); Backward-BLEU (1)
BEST OF,3,2,Best-of-N (2); best-of-N (1)
BIAS RATIO,3,2,Bias Ratio (2); Bias ratio (1)
CIOU,3,2,cIoU (2); CIoU (1)
CLIP SIMILARITY,3,2,CLIP Similarity (2); CLIP similarity (1)
CODE BLEU,3,2,Code-BLEU (2); Code BLEU (1)
COMETKIWI XL,3,2,CometKiwi-XL (2); COMETKiwi-XL (1)
CONFUSION MATRIX,3,2,Confusion matrix (2); Confusion Matrix (1)
CONSTRAINT SATISFACTION,3,2,Constraint Satisfaction (2); Constraint Satisfaction Score (1)
CONTRADICTION,3,2,Contradiction (2); Contradiction Score (1)
CORRELATION COEFFICIENT,3,2,Correlation Coefficient (2); Correlation coefficient (r) (1)
COVER,3,2,Cover (2); Cover@k (1)
COVERAGE RATE,3,2,Coverage Rate (2); Coverage rate (1)
CS,3,2,CS (2); ΔCS (1)
CTRLEVAL,3,2,CTRLEval (2); CtrlEval (1)
DECODING TIME,3,2,Decoding Time (2); decoding time (1)
DEVIATION,3,2,Average Deviation (2); Deviation (1)
ENTAIL,3,2,Entail@1 (2); Entail (1)
ENTAILMENT RATIO,3,2,Entailment Ratio (2); Entailment ratio (1)
ERROR,3,2,Error (2); σ_error (1)
EXACT STRING MATCH,3,2,Exact String Match (2); exact string match (1)
EXPOSURE,3,2,Exposure (2); Mean Exposure (1)
FLEISS,3,2,Fleiss' κ (2); Fleiss's κ (1)
FLESCH KINCAID GRADE,3,2,Flesch-Kincaid Grade (2); Flesch-Kincaid Grade Score (1)
GPT 2 PERPLEXITY,3,2,GPT-2 perplexity (2); GPT-2 Perplexity (1)
GPT 4 RATING,3,2,GPT-4 rating (2); GPT-4 Rating (1)
GPT 4 TURBO,3,2,GPT-4-Turbo (2); GPT-4-turbo (1)
GRAMMATICALITY,3,2,Grammaticality (2); Grammaticality Score (1)
L1 DISTANCE,3,2,L1 Distance (2); L1 distance (1)
L2 NORM,3,2,L2 norm (2); L2 Norm (1)
LLM EVAL,3,2,LLM-Eval (2); LLM_eval (1)
MAX TOXICITY,3,2,Max Toxicity (2); Average Max Toxicity (1)
MMBENCH,3,2,MMBench (2); MMBENCH (1)
MMLU ACCURACY,3,2,MMLU Accuracy (2); MMLU accuracy (1)
MODIFICATION RATE,3,2,Modification Rate (2); Modification rate (1)
MR,3,2,MR (2); mR@K (1)
MRECALL,3,2,MRecall@k (2); MRECALL@k (1)
MUSE,3,2,MUSE (2); mUSE (1)
N GRAM NOVELTY,3,2,n-gram novelty (2); N-gram Novelty (1)
N GRAM OVERLAP,3,2,n-gram overlap (2); N-gram_overlap (1)
NEUTRALITY,3,2,Neutrality (2); Neutrality Score (1)
NORMALIZED LEVENSHTEIN DISTANCE,3,2,Normalized Levenshtein distance (2); Normalized Levenshtein Distance (1)
NUBIA,3,2,NUBIA (2); Nubia (1)
OPEN LLM LEADERBOARD,3,2,Open LLM Leaderboard (2); Open LLM Leaderboard score (1)
PC,3,2,PC (2); PC-Score (1)
PEARSON COEFFICIENT,3,2,Pearson coefficient (2); Pearson Coefficient (1)
PERFECT RATE,3,2,Perfect Rate (2); Perfect rate (1)
PK,3,2,Pk (2); #PK (1)
POLITENESS,3,2,Politeness (2); Politeness Score (1)
POLOS,3,2,Polos (2); POLOS (1)
POSITIVITY,3,2,Positivity (2); Positivity Score (1)
PROGRESS,3,2,Progress (2); Average Progress Score (1)
PROOF ACCURACY,3,2,Proof Accuracy (2); proof accuracy (1)
QA F1,3,2,QA-F1 (2); QA F1 (1)
RADGRAPH F1,3,2,RadGraph F1 (2); RadGraph-F1 (1)
REGEX MATCHING,3,2,Regex Matching (2); Regex matching (1)
RELAXED MATCH,3,2,Relaxed Match (2); Relaxed match (1)
RESPONSE TIME,3,2,Response Time (2); Average Response Time (1)
REWARD MARGIN,3,2,Reward Margin (2); Reward margin (1)
RHYME ACCURACY,3,2,Rhyme Accuracy (2); Rhyme accuracy (1)
SALE TO LIST RATIO SL,3,2,Sale-to-List Ratio (SL) (2); Sale-to-List Ratio (SL%) (1)
SELF ROUGE,3,2,Self-ROUGE (2); Self-Rouge (1)
SEM F1,3,2,SEM-F1 (2); Sem-F1 (1)
SEMANTIC DIVERSITY,3,2,Semantic Diversity (2); semantic diversity (1)
SENTENCE COUNT,3,2,Sentence Count (2); Sentence count (1)
SESCORE2,3,2,SEScore2 (2); SESCORE2 (1)
SPEARMAN CORRELATION COEFFICIENT,3,2,Spearman correlation coefficient (2); Spearman Correlation Coefficient (1)
TEST CASE PASS RATE,3,2,test case pass rate (2); Test case pass rate (1)
TF IDF SIMILARITY,3,2,TF-IDF similarity (2); TF-IDF Similarity (1)
TIGER,3,2,TIGEr (2); TIGER (1)
TOKEN OVERLAP,3,2,Token Overlap (2); token overlap (1)
TOKEN RECALL,3,2,Token Recall (2); token recall (1)
TRUE NEGATIVE RATE,3,2,True Negative Rate (2); true negative rate (1)
VERIFICATION ACCURACY,3,2,Verification Accuracy (2); verification accuracy (1)
VERISCORE,3,2,VeriScore (2); VERISCORE (1)
VILBERTSCORE,3,2,ViLBERTScore (2); VilBERTScore (1)
WILCOXON SIGNED RANK TEST,3,2,Wilcoxon signed-rank test (2); Wilcoxon Signed-Rank Test (1)
WINRATE,3,2,Winrate (2); WINrate (1)
ZIPF COEFFICIENT,3,2,Zipf coefficient (2); Zipf Coefficient (1)
ZIPF S COEFFICIENT,3,2,Zipf's coefficient (2); Zipf's Coefficient (1)
1 DISTANCE,2,2,ℓ1 distance (1); ℓ1_distance (1)
ABSOLUTE DIFFERENCE,2,2,Absolute Difference (1); Absolute difference (1)
ABX ERROR RATE,2,2,ABX Error Rate (1); ABX error rate (1)
ACCURACY ACC,2,2,Accuracy (ACC) (1); Accuracy (Acc) (1)
ACCURACY+,2,2,Accuracy+ (1); accuracy+ (1)
ADJUSTED WIN RATE,2,2,Adjusted Win Rate (1); adjusted win rate (1)
AGG,2,2,AGG (1); Agg (1)
ALIGN,2,2,Align-Score (1); θ-Align (1)
AMBER,2,2,AMBER Score (1); Amber (1)
ASPECT COVERAGE,2,2,Aspect Coverage (1); Aspect coverage (1)
ATTENTION,2,2,Attention Score (1); Attention score (1)
ATTRIBUTABILITY,2,2,Attributability (1); Attributability Score (1)
ATTRIBUTE RELEVANCE,2,2,Attribute Relevance (1); Attribute relevance (1)
ATTRIBUTION,2,2,Attribution (1); Attribution Score (1)
AUTO QA COVERAGE,2,2,AUTO-QA Coverage (1); AUTO-QA coverage (1)
BART,2,2,BART Score (1); BART-Score (1)
BERT F1,2,2,BERT F1 (1); BERT-F1 (1)
BERT SIMILARITY,2,2,BERT Similarity (1); BERT Similarity Score (1)
BRADLEY TERRY COEFFICIENTS,2,2,Bradley-Terry Coefficients (1); Bradley-Terry coefficients (1)
C ELMO,2,2,C-ELMO (1); C-ELMo (1)
CA,2,2,CA (1); CA@1 (1)
CALIBRATION ERROR,2,2,Calibration Error (1); calibration error (1)
CD,2,2,CD (1); CD Score (1)
CHARACTER F1,2,2,Character F1 (1); character F1 score (1)
CHARACTER LEVEL EDIT DISTANCE,2,2,Character-level Edit Distance (1); Character-level edit distance (1)
CHATGPT EVAL,2,2,ChatGPT Eval (1); ChatGPT-eval (1)
CHRF1,2,2,CHRF1 (1); chrF1 (1)
CLAIM RELEVANCE,2,2,Claim Relevance (1); Claim-Relevance (1)
CLIPBERTSCORE,2,2,CLIPBERTSCORE (1); CLIPBERTScore (1)
CO,2,2,CO (1); CO∆ (1)
COMMONSENSE,2,2,Commonsense (1); Commonsense Score (1)
COMPREHENSIVENESS,2,2,Comprehensiveness (1); comprehensiveness (1)
CONCEPT F1,2,2,Concept F1 (1); Concept-F1 (1)
CONFIDENCE INTERVALS,2,2,Confidence Intervals (1); confidence_intervals (1)
COORDINATION,2,2,Coordination (1); Coordination Score (1)
CORRECT GIVEN ATTEMPTED CGA,2,2,Correct Given Attempted (CGA) (1); Correct given attempted (CGA) (1)
CORRECTNESS RATE,2,2,Correctness Rate (1); Correctness rate (1)
COSINE,2,2,COSINE (1); Cosine (1)
COT TOKEN COUNT,2,2,Average CoT Token Count (1); CoT token count (1)
COVERAGE PERCENTAGE,2,2,Coverage Percentage (1); coverage percentage (1)
CROSS LINGUAL CONSISTENCY,2,2,Cross-Lingual Consistency (1); Cross-lingual Consistency (1)
CVG,2,2,Cvg (1); Cvg-L (1)
DALE CHALL READABILITY,2,2,Dale-Chall Readability Score (1); Dale-Chall readability (1)
DEPENDENCY DISTANCE,2,2,Dependency Distance (1); mean dependency distance (1)
DIFF,2,2,%diff (1); Diff Score (1)
DISC,2,2,Disc(D) (1); Disc(S) (1)
DISTILLATION RATIO,2,2,Average Distillation Ratio (1); Distillation Ratio (1)
DIVERSE,2,2,Diverse-1 (1); Diverse-2 (1)
DIVERSITY DIST,2,2,Diversity (Dist-k) (1); Diversity (dist-n) (1)
DROP RATE,2,2,Drop Rate (1); drop rate (1)
E ACC,2,2,E-ACC (1); E-acc (1)
EDIT,2,2,EDIT (1); Edit% (1)
EDIT F1,2,2,EDIT-F1 (1); Edit-F1 (1)
EFFECT SIZE,2,2,Effect Size (1); effect size (1)
EMB,2,2,EMB (1); Emb_avg (1)
EMPIRICAL COVERAGE,2,2,Empirical Coverage (1); empirical coverage (1)
ENERGY ACCURACY,2,2,Energy Accuracy (1); Energy accuracy (1)
ENFS,2,2,ENFS (1); ENFS% (1)
ENTFA,2,2,ENTFA (1); EntFA (1)
ENTITY COVERAGE,2,2,Entity Coverage (1); Entity Coverage Score (1)
EPR,2,2,EPR (1); EPR@K (1)
EXACT MATCHING ACCURACY,2,2,Exact Matching Accuracy (1); Exact-Matching Accuracy (1)
EXACT STRING MATCHING,2,2,Exact String Matching (1); exact string matching (1)
EXTRACTIVE FRAGMENT DENSITY,2,2,Extractive Fragment Density (1); extractive fragment density (1)
FACTUALNESS,2,2,Factualness (1); Factualness Score (1)
FAR,2,2,FAR (1); FaR (1)
FEVER,2,2,FEVER Score (1); FEVER score (1)
FLOW,2,2,Flow (1); Flow score (1)
FORMALITY CLASSIFIER,2,2,Formality classifier score (1); formality classifier (1)
FORMALITY REGRESSION,2,2,Formality Regression (1); formality regression score (1)
FORMAT,2,2,format (1); format metric (1)
FORMAT ACCURACY,2,2,Format Accuracy (1); Format accuracy (1)
FUZZY MATCH,2,2,Fuzzy Match (1); fuzzy_match (1)
GENDER POLARITY,2,2,Gender Polarity (1); Gender polarity (1)
GOAL,2,2,GOAL (1); Goal Score (1)
GOODNESS,2,2,Goodness Score (1); goodness@0.1 (1)
GPT 2 COHERENCE,2,2,GPT-2 Coherence (1); GPT-2 coherence (1)
GPT 4 EVAL,2,2,GPT-4-Eval (1); GPT-4-eval (1)
GRANULARITY,2,2,Granularity (1); Granularity Score (1)
GUNNING FOG,2,2,Gunning Fog (1); Gunning-Fog (1)
HARM,2,2,Harm Score (1); harm score (1)
HARMFULNESS RATE,2,2,Harmfulness Rate (1); harmfulness rate (1)
HARMLESS,2,2,Harmless Score (1); harmless score (1)
HELLINGER DISTANCE,2,2,Hellinger Distance (1); Hellinger distance (1)
HELPFUL,2,2,Helpful Score (1); helpful score (1)
HISTOGRAM INTERSECTION,2,2,Histogram Intersection (1); Histogram intersection (1)
HONEST,2,2,HONEST (1); HONEST score (1)
I BLEU,2,2,I-BLEU (1); i-BLEU (1)
I INDEX,2,2,I-Index (1); I-index (1)
IB,2,2,IB Score (1); IB-Score (1)
IDF,2,2,IDF (1); Mean IDF (1)
IF,2,2,IF-M (1); IF-S (1)
INFERENCE LATENCY,2,2,Inference Latency (1); Inference latency (1)
INSTRUCTION LEVEL ACCURACY,2,2,Instruction-level Accuracy (1); Instruction-level accuracy (1)
INTER DIST,2,2,Inter-Dist (1); Inter-dist (1)
INTER RATER RELIABILITY,2,2,Inter-rater Reliability (1); Inter-rater reliability (1)
INTERACTION MATCH ACCURACY,2,2,Interaction Match Accuracy (1); Interaction match accuracy (1)
INTERMEDIATES ALLCORRECT,2,2,Intermediates AllCorrect (1); Intermediates-AllCorrect (1)
INTERMEDIATES F1,2,2,Intermediates (F1) (1); Intermediates F1 (1)
INTRA DIST,2,2,Intra-Dist (1); Intra-dist (1)
IOU F1,2,2,IOU F1 (1); IOU-F1 (1)
ITERATIONS,2,2,Average #Iterations (1); average iterations (1)
JOINT POINTS,2,2,Joint points (1); joint points (1)
JS DIVERGENCE,2,2,JS Divergence (1); JS divergence (1)
KAPPA,2,2,Weighted Kappa (1); kappa (1)
KENDALL TAU DISTANCE,2,2,Kendall Tau Distance (1); Kendall tau distance (1)
KG,2,2,KG(G) (1); KG(I) (1)
L2 DISTANCE,2,2,L2 Distance (1); L2 distance (1)
LANGUAGE ACCURACY,2,2,Language Accuracy (1); Language accuracy (1)
LANGUAGE CORRECTNESS,2,2,Language Correctness (1); Language correctness (1)
LANGUAGE MODELING,2,2,Language Modeling Score (1); language modeling score (1)
LEAKAGE,2,2,Leakage (1); Leakage Score (1)
LEAVES ALLCORRECT,2,2,Leaves AllCorrect (1); Leaves-AllCorrect (1)
LENGTH DIFFERENCE,2,2,Average Length Difference (1); Length Difference (1)
LEVENSHTEIN EDIT SIMILARITY,2,2,Levenshtein Edit Similarity (1); Levenshtein edit similarity (1)
LEXICAL DENSITY,2,2,Lexical Density (1); lexical density (1)
LIKELIHOOD RATIO,2,2,Average Likelihood Ratio (1); Likelihood Ratio (1)
LINEAR REGRESSION,2,2,Linear Regression (1); Linear regression (1)
LLAVA BENCH,2,2,LLaVA-Bench (1); LLaVA-Bench Score (1)
LLM BASED SCORING,2,2,LLM-based Scoring (1); LLM-based scoring (1)
LMENTRY,2,2,LMentry Score (1); LMentry-Score (1)
