raw_string,source,occurrences_llm,occurrences_human,chosen_id,chosen_name,chosen_type,chosen_source,stage1_qcet_id,stage1_qcet_fit,stage2_cluster_id,fit,construct,justification,cache_hit,error,override_applied
answer content diversity,human,0,1,QOF-c-1,Diversity/Non-diversity (content/meaning),qcet,stage1_exact,QOF-c-1,strong,,strong,variety in meaning aspects,Synonym for content-level diversity in outputs.,,,
answer factual accuracy,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,real-world truthfulness,Exact match to factual correctness criterion.,,,
answer refusal,llm,1,0,QIG-f-1,Appropriateness of System Response Type,qcet,stage1_exact,QIG-f-1,strong,,strong,suitability of non-answer responses,Refusal is a response type evaluated for contextual fit.,,,
answer-ground truth matching,human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,matching to target answers,Directly measures output matching to ground truth answers.,,,
answering accuracy,human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,correctness of answers,Accuracy implies matching to target answers.,,,
appropriate refusal,llm,1,0,QIG-f-1,Appropriateness of System Response Type,qcet,stage1_exact,QIG-f-1,strong,,strong,response type appropriateness,Directly matches QCET's response type appropriateness relative to input.,,,
appropriateness for dietary constraint,human,0,1,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,contextual appropriateness,Aligns with QCET's external-context appropriateness definition.,,,
appropriateness of linking,human,0,1,QOG-c-3.2,Cohesiveness,qcet,stage1_exact,QOG-c-3.2,strong,,strong,discourse link quality,Matches QCET's cohesiveness for content linking.,,,
appropriateness of onomatopoeia,human,0,1,QEG-f-2,Appropriateness (form),qcet,stage1_exact,QEG-f-2,strong,,strong,sound-word suitability,Fits QCET's form-based appropriateness in context.,,,
article relevance,human,0,1,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output pertinence to input,Direct match to relevance relative to input context.,,,
appropriateness of question,human,0,1,QIG-f-1,Appropriateness of System Response Type,qcet,stage1_exact,QIG-f-1,strong,,strong,suitability of question type,Directly matches response-type appropriateness relative to input.,,,
argument extraction accuracy,human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,correctness of extracted arguments,Measures output deviation from reference arguments.,,,
assistive value,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,usefulness for user assistance,Direct synonym of task usefulness.,,,
atomic facts preservation,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,retaining input factual units,Direct synonym for avoiding omissions of facts.,,,
avoidance of non-inferable information,human,0,1,QIC-c-2,Absence of Additions (relative to input),qcet,stage1_exact,QIC-c-2,strong,,strong,minimizing content not derivable from input,Directly matches preventing extra content beyond input.,,,
attribute consistency,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,output attribute consistency,Directly matches QCET's internal consistency leaf for content.,,,
attribute match,human,0,1,QIF-w-5,Control over Multiple Attributes,qcet,stage1_exact,QIF-w-5,strong,,strong,output-target attribute alignment,Matches leaf defining attribute-level target achievement.,,,
avoidance of repetition,human,0,1,QOG-w-1,Nonredundancy (output as a whole),qcet,stage1_exact,QOG-w-1,strong,,strong,reduction of redundant content,Directly matches QCET's definition of nonredundancy.,,,
avoidance of unfounded expansion,human,0,1,QIC-c-2,Absence of Additions (relative to input),qcet,stage1_exact,QIC-c-2,strong,,strong,preventing unsupported content additions,Aligns with QCET's focus on avoiding extra content not in input.,,,
avoiding contradiction,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,preventing self-contradictory statements,Directly corresponds to QCET's internal consistency criterion.,,,
authenticity of dialect,human,0,1,QEF-w-5,Detectability of Speaker/Author Trait,qcet,stage1_exact,QEF-w-5,strong,,strong,authenticity of dialect in output,Dialect authenticity directly reflects speaker trait detectability.,,,
background similarity,llm,1,0,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),qcet,stage3_split_keep_stage1,QEF-c-1,partial,6,partial,content similarity to references,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
background consistency,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,consistency of content elements,Directly matches internal consistency in content.,,,
baseless spans,llm,1,0,QIC-c-2,Absence of Additions (relative to input),qcet,stage1_exact,QIC-c-2,strong,,strong,unjustified content additions,Refers to unsupported content not in input.,,,
binary error judgment,llm,1,0,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage1_exact,QOC-w-1,strong,,strong,overall error presence,Directly measures output correctness errors.,,,
beliefs consistency,llm,1,0,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal logical coherence of beliefs,Directly matches internal content consistency.,,,
burden,human,0,1,QEG-w-5.1,Ease of Communication,qcet,stage1_exact,QEG-w-5.1,strong,,strong,user effort required,Burden inversely measures ease of interaction.,,,
calculation accuracy,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,numerical correctness,Directly measures correctness of computations.,,,
calculation correctness,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,computational validity,Synonymous with numerical factual accuracy.,,,
block relevance,human,0,1,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,relevance of output segments to input,Directly matches relevance relative to input context.,,,
category correctness,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,Correct category assignment,Directly matches correctness of output class against target.,,,
causal consistency,llm,1,0,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,Consistency in causal relationships,Directly fits internal consistency of content/meaning.,,,
caption alignment with image,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,consistency between caption and image,Measures if caption correctly describes image content.,,,
caption diversity,llm,1,0,QOF-w-1,Diversity/Non-diversity (outputs as a whole),qcet,stage1_exact,QOF-w-1,strong,,strong,variety in generated captions,Meures diversity of captions for same image.,,,
caption relevance,human,0,1,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,relevance of caption to image,Measures how relevant caption is to input image.,,,
captures the gist of the article,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,inclusion of core meaning,Directly matches omission avoidance for primary input content.,,,
carries useful information from the alt-text,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,transfer of input information,Explicitly targets inclusion of specified input content.,,,
causation detection,llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy in detecting causation,Directly matches classification task accuracy definition.,,,
character consistency,llm,1,0,QTC-w-3.2,Character Matching,qcet,polysemous_override(was:QOG-c-4),QOG-c-4,strong,,strong,content element uniformity,Directly matches QCET's internal consistency definition.,,,Y
citation redundancy,human,0,1,QOG-c-1,Nonredundancy (content/meaning),qcet,stage1_exact,QOG-c-1,strong,,strong,unnecessary repetition in references,Directly matches QCET's content redundancy definition.,,,
character overlap,llm,1,0,QTC-w-3.2,Character Matching,qcet,stage1_exact,QTC-w-3.2,strong,,strong,character-level matching to target,Directly measures alignment with reference characters.,,,
character-level correspondence,llm,1,0,QTC-w-3.2,Character Matching,qcet,stage1_exact,QTC-w-3.2,strong,,strong,character alignment to reference,Synonymous with character-level matching to targets.,,,
class correctness,llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy of output class relative to target,Directly matches QCET classification accuracy definition.,,,
classification label correctness,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy of classification labels,Synonym for QCET classification accuracy.,,,
citation standards,llm,1,0,QEC-f-1,Adherence to Style Guide,qcet,stage1_exact,QEC-f-1,strong,,strong,compliance with citation formatting rules,Directly matches adherence to style conventions for references.,,,
clarity improvement,llm,1,0,QOG-w-5.1,Clarity,qcet,stage1_exact,QOG-w-5.1,strong,,strong,output clarity enhancement,Directly matches QCET's Clarity leaf definition.,,,
clarity of meaning,human,0,1,QOG-w-5.1,Clarity,qcet,stage1_exact,QOG-w-5.1,strong,,strong,semantic clarity of output,Perfect match to QCET's Clarity leaf.,,,
coding correctness,llm,1,0,QEC-w-1,Functional Correctness,qcet,stage1_exact,QEC-w-1,strong,,strong,Functional behavior accuracy,Directly matches functional correctness in test execution.,,,
clinical correctness,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual accuracy in clinical domain,Clinical correctness is factual truth instance.,,,
combinatorics,llm,1,0,QOF-w-3,Complexity/Non-complexity (outputs as a whole),qcet,stage3_split_keep_stage1,QOF-w-3,partial,5,partial,structural complexity of outputs,Stage-3 SPLIT verdict; per-variant target from Stage-1.,,,
combined factuality,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,truthfulness of content,Directly matches factual accuracy criterion.,,,
cohesion quality,human,0,1,QOG-c-3.2,Cohesiveness,qcet,stage1_exact,QOG-c-3.2,strong,,strong,linking of content elements,Direct match to QCET leaf for content linkage.,,,
coherence (passage-level),human,0,1,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,logical flow of content,Direct match to QCET's coherence definition.,,,
coherence (sentence-level),human,0,1,QOG-c-3,Coherence,qcet,stage1_exact,QOG-c-3,strong,,strong,internal consistency of meaning,Aligns perfectly with QCET coherence leaf.,,,
coherence with query,human,0,1,QIG-c-3,Relevance to Input,qcet,stage1_exact,QIG-c-3,strong,,strong,output-input thematic alignment,Directly matches relevance to input criteria.,,,
comforting,human,0,1,QEF-w-3,Effect on User Emotion,qcet,stage1_exact,QEF-w-3,strong,,strong,provides emotional comfort,Directly relates to affecting user's emotions positively.,,,
complaint system responses,human,0,1,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,suitability for complaint contexts,Directly matches context-specific appropriateness.,,,
complete-sentence,human,0,1,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,output being a complete sentence,Sentence fragments are ungrammatical.,,,
completeness (no missing critical utterance),human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,absence of critical content omissions,Directly matches omission avoidance relative to input.,,,
completeness of subquestion answers,llm,1,0,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage1_exact,QIG-w-2,strong,,strong,completeness of answers to subquestions,Directly matches answering questions in input.,,,
confabulations,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual truth of output,Confabulations are false statements.,,,
conciseness of expression tree,human,0,1,QOG-f-1,Nonredundancy (form),qcet,stage1_exact,QOG-f-1,strong,,strong,form non-redundancy in trees,Matches form-level nonredundancy for structured outputs.,,,
concision,llm,1,0,QOG-w-1,Nonredundancy (output as a whole),qcet,stage1_exact,QOG-w-1,strong,,strong,overall output brevity,Direct synonym for nonredundancy at whole-output level.,,,
condition consistency,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,logical coherence in content,Aligns with content-level internal consistency.,,,
confirmation of claims,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,truthfulness of stated claims,Directly matches factual verification of real-world assertions.,,,
consistency of answers,llm,1,0,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,answer consistency across outputs,Directly matches internal consistency of outputs.,,,
consistency of relationships and events,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,consistency in events and relationships,Specific case of internal consistency in content.,,,
consistency with ground-truth answer,llm,1,0,QTC-c-1,Meaning Accuracy,qcet,stage1_exact,QTC-c-1,strong,,strong,agreement with correct content,Direct match for content accuracy against target outputs.,,,
consistency with input,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,agreement with input content,Direct match to QCET leaf definition.,,,
consistency with user query (QI),human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,output alignment with input query,Matches QCET leaf for output-input consistency.,,,
consistent,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal logical coherence,Direct match to self-consistency leaf.,,,
consistent reference to the same object,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,coreference consistency,Specific case of internal content consistency.,,,
consistency with news body,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,output alignment with input content,News body is an input aspect; matches QIC-c-3 definition directly.,,,
consistency with previous step,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,output alignment with input history,Previous step is contextual input; fits QIC-c-3's input consistency.,,,
consistency with prompt,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,output alignment with input instructions,Prompt is core input; directly matches QIC-c-3 scope.,,,
content order,human,0,1,QOG-c-3.1,Wellorderedness,qcet,stage1_exact,QOG-c-3.1,strong,,strong,ordering of content elements,Directly matches QCET's definition of content ordering quality.,,,
content retention,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,preservation of input content,Directly corresponds to avoiding content omissions from input.,,,
content addition,human,0,1,QIC-c-2,Absence of Additions (relative to input),qcet,stage1_exact,QIC-c-2,strong,,strong,absence of extra content,Matches avoiding additions not in input.,,,
content errors,llm,1,0,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,absence of semantic errors,Content errors are semantic errors.,,,
content non-redundancy,human,0,1,QOG-c-1,Nonredundancy (content/meaning),qcet,stage1_exact,QOG-c-1,strong,,strong,lack of redundant content,Direct match to non-redundancy in content.,,,
context fit,human,0,1,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,output suitability for context,Directly matches appropriateness definition.,,,
contextual suitability,llm,1,0,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,suitability in context,Matches appropriateness in given context.,,,
contextual word sense,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,correct word sense in context,Word sense correctness is semantic.,,,
context-consistency,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,consistency with context,Direct match to QCET leaf.,,,
contextual adequacy,llm,1,0,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,appropriateness in context,Matches QCET's context appropriateness.,,,
contradicting facts,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of factual errors,Directly measures factual inaccuracies in outputs.,,,
contradicts commonsense,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of commonsense errors,Commonsense errors are a subset of factual untruths.,,,
coordination detection,llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy in identifying coordination,Direct match for classification-based detection tasks.,,,
correct classification,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,classification accuracy,Directly matches QCET leaf for output class matching.,,,
correct covert meaning presence,human,0,1,QTC-c-1,Meaning Accuracy,qcet,stage1_exact,QTC-c-1,strong,,strong,accuracy of hidden meanings,Directly measures semantic alignment with targets.,,,
correct NLI label selection,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy in label classification,Matches QCET's finite-class classification accuracy definition.,,,
correct answer,llm,1,0,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,match to target output,Directly measures output deviation from target answers.,,,
correct association,llm,1,0,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,match to target relationships,Measures deviation from target relational outputs.,,,
correct label matching,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy of class labels,Matches target output classes.,,,
correct number of arms,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual accuracy of arm count,Checks real-world correctness of attribute.,,,
correct object support,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual accuracy of object support,Checks real-world correctness of object states.,,,
correct option classification,llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy of option classification,Matches target option classes.,,,
correctly tagged language,human,0,1,QTC-w-2,Sequence Labelling Accuracy,qcet,stage1_exact,QTC-w-2,strong,,strong,accuracy of sequence tags,Directly matches accuracy of sequence labels against target.,,,
correctly understood,human,0,1,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,ease of understanding output,Directly matches QCET leaf for understandability.,,,
correct inflection in context,human,0,1,QOC-f-1,Grammaticality,qcet,stage1_exact,QOC-f-1,strong,,strong,grammatical correctness of word inflection,Inflection errors are grammatical errors.,,,
correct interpretation of evidence,human,0,1,QIC-c-3,Consistency with Input,qcet,stage1_exact,QIC-c-3,strong,,strong,consistency of output with input evidence,Interpreting evidence requires input consistency.,,,
correct tool invocation,llm,1,0,QEC-w-1,Functional Correctness,qcet,stage1_exact,QEC-w-1,strong,,strong,accuracy of action execution,Directly measures functional behavior correctness.,,,
correct outcome,human,0,1,QEC-w-1,Functional Correctness,qcet,stage1_exact,QEC-w-1,strong,,strong,functional result of system output,Directly measures whether system's functional result matches target.,,,
correctness (exact match),human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,exact match to target output,Matches QCET leaf for exact output matching.,,,
correctness (yes/no),llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy in binary classification,Binary classification matches QCET leaf.,,,
correctness of description,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-c-1,strong,,strong,semantic accuracy of descriptions,Directly matches semantic correctness of output content.,,,
correctness of entailment label,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy of logical relationship labels,Entailment labels are classification outputs matching targets.,,,
correctness of atomic facts,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,real-world factual accuracy,Directly matches real-world truth criterion for atomic facts.,,,
correctness of claim,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,real-world claim truth,Perfectly aligns with factual truth criterion for claims.,,,
correctness of mapping to survey option,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy of class assignment,Matches classification to target classes.,,,
correctness of proposition,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,factual truth of statements,Directly measures propositional truth.,,,
correctness of punchline,human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,match to intended punchline,Assesses deviation from target output.,,,
correctness of results,llm,1,0,QOC-w-1,Correctness of Outputs (outputs as a whole),qcet,stage1_exact,QOC-w-1,strong,,strong,overall absence of errors,General correctness without specific frame.,,,
correctness of translation,human,0,1,QIC-w-1,Translation Accuracy,qcet,stage1_exact,QIC-w-1,strong,,strong,translation accuracy,Direct match to QCET leaf for translation.,,,
correctness of logical forms,human,0,1,QTC-c-1,Meaning Accuracy,qcet,stage1_exact,QTC-c-1,strong,,strong,semantic accuracy of logic,Direct match to meaning vs. targets.,,,
correctness of solvability status,human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,accuracy of solvability prediction,Matches target solvability status.,,,
correctness of sufficiency prediction,human,0,1,QTC-w-3,Complete Target Output Matching,qcet,stage1_exact,QTC-w-3,strong,,strong,accuracy of sufficiency prediction,Matches target sufficiency status.,,,
correctness of the inflected form,human,0,1,QTC-f-1,Form Accuracy,qcet,stage1_exact,QTC-f-1,strong,,strong,accuracy of morphological form,Inflected form matches target.,,,
coverage with respect to reference,human,0,1,QEF-c-1,Similarity/Dissimilarity to Non-target Reference (content/meaning),qcet,stage1_exact,QEF-c-1,strong,,strong,content similarity to non-target reference,Coverage measures content overlap with reference.,,,
covered cells,human,0,1,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,inclusion of input data cells,Directly measures absence of omissions of input content units.,,,
decision correctness,human,0,1,QOC-c-1,Semantic Correctness,qcet,stage1_exact,QOC-w-1,strong,,strong,semantic accuracy of decisions,Directly measures correctness in output meaning/decisions.,,,
degree of diversity,llm,1,0,QOF-w-1,Diversity/Non-diversity (outputs as a whole),qcet,stage1_exact,QOF-w-1,strong,,strong,diversity of outputs,Direct match to diversity leaf.,,,
demeaning content,human,0,1,QEG-c-2,Appropriateness (content/meaning),qcet,stage1_exact,QEG-c-2,strong,,strong,inappropriateness due to demeaning nature,Demeaning content is inappropriate content.,,,
derailment prediction accuracy,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,accuracy in predicting derailment,Accuracy in a classification task.,,,
description accuracy,llm,1,0,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,correctness of described content,Directly measures factual correctness of descriptions.,,,
description helpfulness,human,0,1,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,usefulness of description to user,Helpfulness is synonymous with nonspecific usefulness.,,,
detail richness,llm,1,0,QOG-c-2,Informativeness,qcet,stage1_exact,QOG-c-2,strong,,strong,abundance of informative details,Directly corresponds to output informativeness.,,,
dialog consistency,human,0,1,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal logical consistency of dialogue,"Refers to internal logical flow and absence of contradictions, matching QCET's 'Internal Consistency of Outputs'.",,,
dialogue act appropriateness,human,0,1,QIG-f-1,Appropriateness of System Response Type,qcet,stage1_exact,QIG-f-1,strong,,strong,suitability of dialogue act type,Directly matches QCET's 'Appropriateness of System Response Type' for dialogue acts in context.,,,
dialogue consistency,llm,1,0,QOG-c-4,Internal Consistency of Outputs,qcet,stage1_exact,QOG-c-4,strong,,strong,internal logical consistency of dialogue,"Same as item 1: internal consistency of dialogue content, matching QCET's QOG-c-4.",,,
diagnosis accuracy,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,correctness of diagnostic classification,Accuracy of diagnosis classification matches QCET's classification accuracy.,,,
diagnostic accuracy,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,correctness of diagnostic classification,"Same as diagnosis accuracy, classification task.",,,
dialect identification,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,correctness of dialect classification,Dialect identification is a classification task.,,,
dialog act labels,llm,1,0,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,correctness of dialog act classification,Dialog act labeling is a classification task.,,,
dialogue naturalness,human,0,1,QEG-w-1,Naturalness (outputs as a whole),qcet,stage1_exact,QEG-w-1,strong,,strong,human-like flow of conversation,Directly matches QCET's naturalness for full outputs.,,,
difficulty appropriateness,llm,1,0,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,suitability of challenge level,Directly matches context-appropriate output goodness.,,,
disfluent,human,0,1,QOG-w-3,Fluency,qcet,stage1_exact,QOG-w-3,strong,,strong,output disfluency,Disfluency is the inverse of fluency.,,,
disgust,human,0,1,QEF-w-3,Effect on User Emotion,qcet,stage1_exact,QEF-w-3,strong,,strong,user disgust response,Directly about user emotion effect.,,,
distorted evidence,human,0,1,QEC-c-1,Factual Truth,qcet,stage1_exact,QEC-c-1,strong,,strong,absence of distorted evidence,Distorted evidence is a factual untruth.,,,
domain appropriateness,human,0,1,QEG-w-2,Appropriateness (outputs as a whole),qcet,stage1_exact,QEG-w-2,strong,,strong,output suitability for target domain,Direct match to context-specific appropriateness.,,,
diversification,human,0,1,QOF-w-1,Diversity/Non-diversity (outputs as a whole),qcet,stage1_exact,QOF-w-1,strong,,strong,output diversity level,Directly matches QCET's diversity feature for whole outputs.,,,
diversity of rhyme,human,0,1,QOF-f-1,Diversity/Non-diversity (form),qcet,stage1_exact,QOF-f-1,strong,,strong,rhyme variation in form,Rhyme is a formal feature matching QCET form diversity.,,,
doctor-likeness,human,0,1,QEF-w-5,Detectability of Speaker/Author Trait,qcet,stage1_exact,QEF-w-5,strong,,strong,detection of doctor-like traits,Directly aligns with speaker trait detectability.,,,
ease of interpretation,human,0,1,QOG-w-5,Understandability,qcet,stage1_exact,QOG-w-5,strong,,strong,user comprehension of output,Direct match to QCET's understandability definition.,,,
edit type correctness,human,0,1,QTC-w-1,Classification Accuracy,qcet,stage1_exact,QTC-w-1,strong,,strong,correctness of edit type classification,Explicitly about correctness of a classification task.,,,
donation willingness,llm,1,0,QEF-w-2,Effect on User Behaviour,qcet,stage1_exact,QEF-w-2,strong,,strong,user donation behavior,Directly measures behavioral impact on users.,,,
editing duration,human,0,1,QEG-w-5.2,Task Completion Speed,qcet,stage1_exact,QEG-w-5.2,strong,,strong,time to modify output,Directly matches task speed for editing as a user task.,,,
educational utility,human,0,1,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,usefulness for learning,Education is a specific task need within usefulness scope.,,,
effective treatment recommendation,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,usefulness for medical task,Directly matches task-specific usefulness in QCET.,,,
effectiveness for identifying appropriate response location,human,0,1,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,usefulness for localization task,Aligns with task-oriented usefulness in QCET.,,,
effectiveness in addressing query,llm,1,0,QIG-w-2,Degree to which Output Answers Question in Input,qcet,stage1_exact,QIG-w-2,strong,,strong,ability to answer queries,Directly corresponds to QCET's question-answering leaf.,,,
effectiveness in reaching the final answer,llm,1,0,QEG-w-3.1,Usefulness for Task/Information Need,qcet,stage1_exact,QEG-w-3.1,strong,,strong,usefulness for solution completion,Fits task-specific usefulness in QCET.,,,
element inclusion,llm,1,0,QIC-c-1,Absence of Omissions (relative to input),qcet,stage1_exact,QIC-c-1,strong,,strong,presence of required elements,Matches omission avoidance relative to input.,,,
emotion appropriateness,human,0,1,QEG-c-2,Appropriateness (content/meaning),qcet,stage1_exact,QEG-w-2,strong,,strong,context-appropriate emotional content,Directly fits content appropriateness in external context.,,,
effectiveness of responses,human,0,1,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,output usefulness to user,Directly matches nonspecific usefulness in QCET.,,,
efficacy,human,0,1,QEG-w-3,Usefulness (nonspecific),qcet,stage1_exact,QEG-w-3,strong,,strong,output capability to produce results,Synonym for usefulness in achieving goals.,,,
